,Position,Oral,Written,Race,Combine,Class
0,Captain,90.60663154915187,90.49845998343056,W,85.55618802199795,1
1,Captain,75.41293460178582,89.49296017466678,W,83.69873929976804,1
2,Captain,79.75387533320989,81.4943856587056,W,80.62220297487303,1
3,Captain,85.48375493879428,72.99807883455196,W,76.62552563040173,1
4,Captain,72.49190051646053,79.0059165131376,W,76.35368486703365,1
5,Captain,79.75387533320989,86.50360668227927,O,85.55618802199795,1
6,Captain,71.89778471100318,77.49306841734315,W,75.3666822142062,1
7,Captain,74.22506214279443,89.49296017466678,O,83.69873929976804,1
8,Captain,70.03376006863428,76.99892932190703,W,74.49256759612665,1
9,Captain,79.75387533320989,68.49378784044532,W,73.64581284530266,1
10,Captain,83.98156472871145,66.4948668298374,W,72.82512092817154,1
11,Captain,75.41293460178582,69.9804709458018,W,72.75889964257897,1
12,Captain,83.27530910946865,79.02114462817704,O,80.21175413036914,1
13,Captain,70.03376006863428,73.99146330603662,W,72.00733584279959,1
14,Captain,72.49190051646053,69.99901967247047,W,71.1144580076906,1
15,Captain,85.48375493879428,73.00239542777457,O,78.84738532030107,1
16,Captain,67.07850463647145,70.4977754903586,W,70.23132924180733,1
17,Captain,63.5661080545996,72.99377013731862,W,69.72942795627587,1
18,Captain,72.49190051646053,79.0059165131376,O,76.35368486703365,1
19,Captain,76.66595526062468,59.499621323289574,W,67.30409742126389,1
20,Captain,53.963996123986774,76.99892932190703,W,66.87826626064185,1
21,Captain,76.66595526062468,72.99807883455196,O,73.64581284530266,1
22,Captain,58.5703964339725,71.50556097187606,W,65.3828999732047,0
23,Captain,74.22506214279443,59.499621323289574,W,65.263417215217,0
24,Captain,64.47220543819023,66.24114515645702,W,65.07903958088453,0
25,Captain,64.47220543819023,64.00621183233866,W,64.88546466415058,0
26,Captain,56.632747375972656,72.00306939111945,W,64.65841525315983,0
27,Captain,66.89047041217987,80.74356120716402,O,72.82512092817154,0
28,Captain,54.40648451423456,71.50556097187606,W,62.866883939318306,0
29,Captain,55.545853497012146,81.9957689290646,O,71.1144580076906,0
30,Captain,70.65802113972057,68.0007913181997,O,69.72942795627587,0
31,Captain,53.49277177254862,64.50177277535906,W,60.58101166117477,0
32,Captain,65.10864090799697,68.75138221450784,O,66.57974731801107,0
33,Captain,45.525838259822656,66.50076755800265,W,57.58251905133503,0
34,Captain,71.89778471100318,60.99793446296793,O,65.07903958088453,0
35,Captain,63.5661080545996,64.50177277535906,O,64.27897996056375,0
36,Captain,74.82836356390413,55.00520176713728,O,62.866883939318306,0
37,Captain,46.41474098516083,70.4977754903586,O,62.198698777227364,0
38,Captain,49.49003219050859,51.75096273858432,W,51.20499187022755,0
39,Captain,66.45651027136212,57.49273527367483,O,58.956507591119305,0
40,Captain,58.5703964339725,53.497960097572104,O,54.4378546280351,0
41,Lieutenant,90.60663154915187,86.50360668227927,W,85.55618802199795,1
42,Lieutenant,83.27530910946865,80.74356120716402,W,81.4873426881869,1
43,Lieutenant,73.3184813510621,86.50360668227927,W,81.4873426881869,1
44,Lieutenant,81.24386601914415,79.02114462817704,W,80.21175413036914,1
45,Lieutenant,75.40102859832416,81.9957689290646,W,80.05987088232709,1
46,Lieutenant,67.49612899229415,86.47985873219011,W,80.05987088232709,1
47,Lieutenant,75.83396552034017,78.74659885406766,W,78.84738532030107,1
48,Lieutenant,66.89047041217987,84.49736266410864,W,78.52988691709106,1
49,Lieutenant,59.59356375243636,90.49845998343056,W,77.48296740294353,1
50,Lieutenant,61.87979078759275,86.496190941988,W,77.48296740294353,1
51,Lieutenant,63.133301906537426,80.74356120716402,W,75.3666822142062,1
52,Lieutenant,68.1312811552705,77.00260345954726,W,74.39677500130398,1
53,Lieutenant,55.545853497012146,84.49736266410864,W,73.64581284530266,1
54,Lieutenant,81.24386601914415,81.4943856587056,O,81.4873426881869,1
55,Lieutenant,67.49612899229415,90.49845998343056,O,80.62220297487303,1
56,Lieutenant,83.98156472871145,77.00260345954726,O,80.05987088232709,1
57,Lieutenant,70.65802113972057,74.49892331180794,W,72.00733584279959,1
58,Lieutenant,59.1589550014788,78.74659885406766,W,71.23547914539137,1
59,Lieutenant,83.98156472871145,62.00031103545001,W,70.23132924180733,1
60,Lieutenant,69.79734166960563,84.49736266410864,O,78.52988691709106,1
61,Lieutenant,74.22506214279443,66.7626606330085,W,69.41073808154265,1
62,Lieutenant,75.40102859832416,78.74659885406766,O,77.48296740294353,1
63,Lieutenant,61.87979078759275,73.00239542777457,W,68.61027747441452,1
64,Lieutenant,90.60663154915187,63.25220633893949,O,76.62552563040173,1
65,Lieutenant,66.45651027136212,68.75138221450784,W,68.61027747441452,1
66,Lieutenant,66.45651027136212,68.0007913181997,W,67.79759043087391,1
67,Lieutenant,59.59356375243636,86.496190941988,O,75.3666822142062,1
68,Lieutenant,73.3184813510621,75.49296740041645,O,74.49256759612665,1
69,Lieutenant,61.02844264419633,69.99901967247047,W,66.57974731801107,1
70,Lieutenant,55.11212568590271,74.49892331180794,W,66.87826626064185,1
71,Lieutenant,56.632747375972656,86.47985873219011,O,74.39677500130398,1
72,Lieutenant,73.34200664810271,61.99727810273404,W,65.82760693916646,1
73,Lieutenant,67.49612899229415,63.25220633893949,W,65.54118179087843,1
74,Lieutenant,65.20447031921772,66.24114515645702,W,65.54118179087843,1
75,Lieutenant,60.20963917301487,69.0068249154146,W,65.07903958088453,0
76,Lieutenant,75.83396552034017,71.50556097187606,O,72.75889964257897,0
77,Lieutenant,69.79734166960563,60.99793446296793,W,64.27897996056375,0
78,Lieutenant,55.84644267625701,72.99807883455196,W,64.27897996056375,0
79,Lieutenant,48.53815977111474,75.99700245241567,W,63.900214372638246,0
80,Lieutenant,68.1312811552705,75.99700245241567,O,72.00733584279959,0
81,Lieutenant,49.49003219050859,75.49296740041645,W,63.584638854296976,0
82,Lieutenant,75.41293460178582,69.0068249154146,O,71.23547914539137,0
83,Lieutenant,59.59356375243636,66.7626606330085,W,62.866883939318306,0
84,Lieutenant,74.82836356390413,53.754511304968226,W,62.198698777227364,0
85,Lieutenant,61.87979078759275,77.49306841734315,O,70.23132924180733,0
86,Lieutenant,52.719263733346644,68.75138221450784,W,61.527955733911455,0
87,Lieutenant,70.03376006863428,68.49378784044532,O,69.41073808154265,0
88,Lieutenant,46.41474098516083,70.99121992965337,W,60.58101166117477,0
89,Lieutenant,64.47220543819023,72.99377013731862,O,68.61027747441452,0
90,Lieutenant,73.34200664810271,64.00621183233866,O,67.79759043087391,0
91,Lieutenant,54.40648451423456,73.99146330603662,O,67.30409742126389,0
92,Lieutenant,65.10864090799697,51.75096273858432,W,59.67436446419235,0
93,Lieutenant,52.719263733346644,74.49892331180794,O,66.87826626064185,0
94,Lieutenant,53.49277177254862,61.99727810273404,W,58.956507591119305,0
95,Lieutenant,63.133301906537426,66.50076755800265,O,65.82760693916646,0
96,Lieutenant,61.02844264419633,66.24114515645702,O,65.54118179087843,0
97,Lieutenant,45.525838259822656,76.99892932190703,O,65.3828999732047,0
98,Lieutenant,53.49277177254862,70.99121992965337,O,65.263417215217,0
99,Lieutenant,59.1589550014788,66.7626606330085,O,64.88546466415058,0
100,Lieutenant,53.963996123986774,69.9804709458018,O,64.65841525315983,0
101,Lieutenant,46.41474098516083,63.25220633893949,W,57.58251905133503,0
102,Lieutenant,56.632747375972656,55.00520176713728,W,57.22062694303486,0
103,Lieutenant,49.49003219050859,72.00306939111945,O,63.900214372638246,0
104,Lieutenant,67.07850463647145,62.00031103545001,O,63.584638854296976,0
105,Lieutenant,55.11212568590271,53.497960097572104,W,56.05746115580898,0
106,Lieutenant,47.70564590064868,57.49273527367483,W,54.4378546280351,0
107,Lieutenant,42.910506550314295,62.00920927434021,W,54.4378546280351,0
108,Lieutenant,47.70564590064868,69.99901967247047,O,61.527955733911455,0
109,Lieutenant,42.910506550314295,60.486987451868984,W,53.86164171612342,0
110,Lieutenant,60.20963917301487,61.99727810273404,O,60.58101166117477,0
111,Lieutenant,51.44866198616188,53.754511304968226,W,51.20499187022755,0
112,Lieutenant,65.20447031921772,59.499621323289574,O,59.67436446419235,0
113,Lieutenant,42.910506550314295,66.4948668298374,O,57.58251905133503,0
114,Lieutenant,55.11212568590271,60.486987451868984,O,57.22062694303486,0
115,Lieutenant,51.44866198616188,62.00920927434021,O,56.05746115580898,0
116,Lieutenant,55.84644267625701,53.754511304968226,O,53.86164171612342,0
117,Lieutenant,48.53815977111474,51.75096273858432,O,51.20499187022755,0
