,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Bayes Classification
0,GP,F,17.99675791904569,U,GT3,A,4.006378818471989,3.990683199701268,at_home,teacher,course,mother,1.9887493326116752,1.9941579241295995,0.0037276411817357856,yes,no,no,no,yes,yes,no,no,3.9943542638435576,3.011929344313533,4.004023844828486,1.009163793863061,0.9858724031238938,3.505277014311019,4.0114979587959105,3.2531771682520034,10.503810732903359,0,0
1,GP,F,17.012035151116773,U,GT3,T,1.0056757142376682,1.5003786704367381,at_home,other,course,father,1.0019815641380148,1.4993350262437013,-0.007888029921549721,no,yes,no,no,no,yes,yes,no,4.996362742404955,3.495120308425869,3.0051164701442348,0.9984675654399187,1.013624525981919,2.9991146465689935,2.0061812505591363,9.003267460779945,10.49997327829438,0,0
2,GP,F,15.002720831608137,U,LE3,T,0.9954085467258377,1.001644222409428,at_home,other,other,mother,0.9942334335611951,2.0040581672586044,0.002971287807990837,yes,no,no,no,yes,yes,yes,no,4.008056371464945,3.0071249087380005,2.004755011737123,2.490011208801602,3.999986224411905,3.501628758905634,5.9908225011501095,11.498582546312951,12.496643583466161,1,1
3,GP,F,14.995428664222313,U,GT3,T,4.000007265716102,2.0166393639454747,health,services,home,mother,0.9968429048454037,2.498427428796001,-0.0024765313821823315,no,yes,no,yes,yes,yes,yes,yes,3.4980861981113627,2.4935846693892225,1.9917618920770397,1.0162306272112458,1.5019509576276864,5.0111484794051835,0.012559676914892784,14.007873609004143,13.49079433962331,1,1
4,GP,F,15.500873746202206,U,GT3,T,3.001324205636317,3.0094035369339664,other,other,home,father,0.9865783130920145,1.498973067595193,-0.003880901808191336,no,yes,no,no,yes,yes,no,no,3.993068924889949,3.0072778403911435,2.0037791025410296,1.4966823522332149,3.0027529400375927,5.001376259749739,0.002673752591217423,10.50860142770425,12.998797227047888,1,1
5,GP,M,16.00010390179388,U,LE3,T,4.004316886835789,2.9953093211987762,services,other,reputation,mother,1.0180412058980322,1.994923461023641,0.0037177455114621007,no,yes,no,yes,yes,yes,yes,no,5.016687038062294,3.4936232261275975,1.9977963578661981,1.0093876837225668,1.50800196129859,4.989653075434374,5.9908225011501095,12.512862504611567,12.496643583466161,1,1
6,GP,M,16.008188385541906,U,LE3,T,1.4981471705512455,1.9881575683450077,other,other,home,mother,0.9884800101605944,1.986790842031232,-0.0013670874301727992,no,no,no,no,yes,yes,yes,no,4.0051503240577695,4.002235807744485,4.002922787405819,0.9882265961848291,1.0038799994363157,3.002540628875545,-0.00225941125769772,13.506530415260137,12.5086351504298,1,1
7,GP,F,17.007879629450382,U,GT3,A,4.009437708956423,3.9866425655966484,other,teacher,home,mother,2.502833417430819,2.013335467315349,-0.0030687457932150244,yes,yes,no,no,yes,yes,no,no,4.001151658356203,1.4902011734995293,4.006752794474428,0.9932171756579208,1.4950454302274478,1.0075968925474852,2.5074095869423987,9.503185375838306,12.999969838477138,1,1
8,GP,M,14.987713279793544,U,LE3,A,2.9991736370889885,1.49925714564954,services,other,home,mother,0.9961622998654497,1.9917256254964117,-0.0012402547568338288,no,yes,no,no,yes,yes,yes,no,4.014854459319035,1.9986731662386736,2.012280733563289,1.000018421221342,1.0010822331979843,1.0121691015647802,0.008057349504259941,14.999988773837803,16.5006011584701,1,1
9,GP,M,14.999201112433742,U,GT3,T,2.498516033941477,3.997281146405399,other,other,home,mother,1.0103851596219955,2.4964769680644245,0.008447603714490541,no,yes,no,yes,yes,yes,yes,no,4.508556643080102,4.999833147687236,0.9966411176265622,1.0041281833274582,0.9770080067040912,4.490335965788953,0.0050776508161694605,12.504731299054084,12.505587466012294,1,1
10,GP,F,14.989503029545327,U,GT3,T,4.002211631484009,4.015196955113977,teacher,health,reputation,mother,1.0105091204097918,2.002368627611707,-0.008266041064414162,no,yes,no,no,yes,yes,yes,no,2.995838409486911,2.991370872114473,2.996464361571837,0.9990875469639349,3.006126971007002,2.0010360500147604,1.9974315130331715,13.997134724116112,13.507762666383258,1,1
11,GP,F,14.987298764406413,U,GT3,T,1.992673927502009,1.0031938029923788,services,other,reputation,father,2.991925641269921,2.499293318878653,-0.014148493182195257,no,yes,no,yes,yes,yes,yes,no,4.99695296935473,2.4980147960558043,1.998335459396423,1.5135218176561231,0.9966119956792517,4.500114356863122,0.009975678897919404,9.503185375838306,11.49197518028429,1,1
12,GP,M,15.505729071663975,U,LE3,T,4.005393988360996,4.015196955113977,health,services,course,father,1.006258131142971,1.0005178369096648,-0.0071891206991804985,no,yes,no,yes,yes,yes,yes,no,4.007723177675574,3.0081406031582247,3.015122595032112,1.0048373047006802,2.5045184739749082,4.493766620777294,-0.018752386333187952,12.508267201061885,13.503507541998331,1,1
13,GP,M,14.991053621286051,U,GT3,T,3.9928334080278276,2.499099175943726,teacher,other,course,mother,1.998578257864711,2.002368627611707,0.0002848895168601767,no,yes,no,no,yes,yes,yes,no,4.993624203836914,3.4922106106261825,2.9923545482696206,1.0015700621815113,1.5026989322289301,2.506206148356236,-0.005794146028540009,12.503785467605475,12.497594662458312,1,1
14,GP,M,15.500873746202206,U,GT3,A,1.50060218495911,1.9956313413594646,other,other,home,other,1.0097824490467575,3.016176980780113,-0.019620291432480938,no,yes,no,no,yes,yes,yes,yes,3.9956615018531823,5.005852075017538,2.0017700660768134,0.9904270815666192,1.007329610177605,2.5015125846128425,-0.006697686293330743,14.005525771688426,14.503220527354065,1,1
15,GP,F,15.990392085526214,U,GT3,T,4.004271497836283,3.9976624196701946,health,other,home,mother,0.9985085100283544,0.9981452430159923,0.0030010381800721813,no,yes,no,no,yes,yes,yes,no,4.000838453511992,3.9980224368104134,3.9955895402364034,1.0081546213494414,2.506528836949917,2.495820481506608,6.998857195821493,16.49790267561545,16.50564162633629,1,1
16,GP,F,15.998384203799672,U,GT3,T,4.007086162387074,3.999388440742018,services,services,reputation,mother,1.0198404458879624,2.509424374629688,-0.013547905123402777,no,yes,no,yes,yes,yes,yes,no,2.997501661013718,2.497651560667194,2.993554157706501,0.9963439221456181,2.490237909231828,2.491378210129345,10.510222808247613,12.50722585398032,12.485859881870311,1,1
17,GP,F,15.996439874848507,U,GT3,T,2.9959850638045955,2.9979924664433817,other,other,reputation,mother,2.998088720285022,1.499279022085436,0.008268747170938609,yes,yes,no,yes,yes,yes,no,no,4.98908589224777,2.9867869173139328,2.009449807231425,0.9985070865084472,0.9905354531283285,4.495196579612677,2.0040997089936194,12.51383209116835,13.999562803368828,1,1
18,GP,M,17.0059054540611,U,GT3,T,2.5033844188200574,1.9963781687406883,services,services,course,mother,0.9877491603895813,0.9945433934948027,2.4993528261739657,no,yes,yes,yes,yes,yes,yes,no,5.011305984743232,5.003823171746264,5.000766102333193,1.4966823522332149,3.510606513104065,5.001733577284563,1.983147007508976,7.990852903886136,8.008306720673055,0,0
19,GP,M,16.00966746852015,U,LE3,T,4.001099904647258,2.5021446091434383,health,other,home,father,0.9911416481780349,1.4984094933039955,-0.010538811051740763,no,no,no,yes,yes,yes,yes,no,2.9970233735520972,1.0017419256229876,2.496689672291808,1.0014072040868114,2.4783005804644938,4.488844856247271,5.502774643614508,12.500571361660814,12.498312279343256,1,1
20,GP,M,15.49462519200618,U,GT3,T,3.503349617180125,2.9947990786014036,teacher,other,reputation,mother,1.0051344318129845,2.5026163894060818,0.00914935329627056,no,no,no,no,yes,yes,yes,no,4.001432879067711,4.000989432600033,1.0091026777506293,1.0128293058442863,1.0064798946979494,0.9844649915649893,-0.016436932779996895,12.516688018607285,13.496384634833827,1,1
21,GP,M,14.989745244978673,U,GT3,T,3.50225362944143,4.000780634047219,health,health,other,father,1.0035395222699268,1.5049804420145279,-0.003437447248719482,no,yes,yes,no,yes,yes,yes,no,4.500520163575741,4.00267786363057,1.9936381685085403,1.0007753782602653,1.0015467776791476,5.005157463431685,0.0039008933686274245,11.510299609829428,12.485859881870311,1,1
22,GP,M,15.99136277785858,U,LE3,T,3.5045621892625283,1.9970185390090829,teacher,other,course,mother,0.9985085100283544,1.9974893816455666,-0.008701080627199388,no,no,no,yes,yes,yes,yes,no,3.9975965232991824,5.012680166797431,0.9981282860685209,0.9987898511081869,2.4983931216518034,5.006570749930164,-0.008132856197318458,12.513343808592403,13.49668324964265,1,1
23,GP,M,16.495929851177088,U,LE3,T,2.0010684565023134,1.995953720898822,other,other,reputation,mother,1.9971928181351215,1.9997399253032562,-0.004120373788204089,no,yes,no,yes,yes,yes,yes,no,5.00640158157163,3.511593127680574,3.501652902587579,1.5163999026840798,3.500773190961449,5.015072947795115,2.0008861915986365,9.997357400827225,10.493145936351393,0,1
24,GP,F,15.002416542434556,R,GT3,T,2.4930073339924226,3.9884680013793012,services,health,course,mother,0.9990290347089041,2.5017176975116553,-0.004572292407092398,yes,yes,no,yes,yes,yes,yes,no,3.9975965232991824,2.9951765433673345,1.9977963578661981,1.5019598377277097,1.5015172094460247,5.004647963415286,2.0082817019785737,9.993690498225735,10.503322442146334,0,1
25,GP,F,15.493213157741096,U,GT3,T,2.0043380601055047,2.001633773309091,services,services,home,mother,0.998081048490444,0.9990019263673806,0.006204149970928075,no,yes,no,no,no,yes,yes,no,1.4945152228687355,2.494496263360868,2.0012151652038273,1.5077900663490755,3.501937001014598,4.993434305193845,6.506826247069271,9.987533520644206,10.989970806118246,1,0
26,GP,M,15.498645478909259,U,GT3,T,1.9959892792198994,1.9989606323614741,other,other,home,mother,0.9777270509983131,1.4957635331302828,0.004671303355743277,no,yes,no,no,yes,yes,yes,no,3.4973510073296485,2.0018279043770546,2.0067148246922595,1.0025382585199485,1.5141085844043216,4.996724531448196,6.998857195821493,11.498582546312951,12.509389021917741,1,1
27,GP,M,15.500119609316123,U,GT3,T,4.006378818471989,1.5024276050225316,health,services,other,mother,1.000180794327162,1.4905935556933447,0.0034797579093824296,no,no,no,no,yes,yes,yes,no,1.4873147292955184,1.4902011734995293,3.9916325786416937,1.5098127762506128,3.5067654973197167,0.9942299133781531,0.5078371647865716,11.502067295490129,11.500682720776865,0,1
28,GP,M,16.004052549159614,U,LE3,A,3.0023574358179776,3.999388440742018,services,other,home,mother,1.0168913945960398,2.4979224345327546,-0.010089867704847311,yes,yes,yes,yes,yes,yes,yes,no,5.000539345489921,2.9983974907296718,2.992213812221156,1.0020090929584171,0.9959425898669286,5.007676661194116,1.9942593244311908,12.514979283618608,11.994037226473868,1,1
29,GP,M,16.00587264931177,U,GT3,T,4.00098781084356,3.9935789012564635,teacher,teacher,home,mother,1.0053581673717953,2.512687477469828,0.012791258935911706,no,yes,yes,yes,yes,yes,yes,yes,3.9902838056272047,4.0054337733981935,4.991342567380658,3.9972059066863626,4.503895519139721,5.010882477498658,4.0114979587959105,12.51383209116835,11.49526054202439,1,1
30,GP,M,15.003747451504179,U,GT3,T,4.00011187062465,4.010213370678883,health,services,home,mother,0.9959448529303299,2.0029132378484666,0.009281856729179399,no,yes,yes,no,no,yes,yes,no,5.018539006394414,3.9960077917018975,2.0003200887060824,2.4882704583407356,3.502158231756538,5.026408564435702,0.012559676914892784,10.503096827312177,11.504542890005968,0,1
31,GP,M,14.999754604164409,U,GT3,T,3.9984448700663107,3.50170524783432,services,services,reputation,mother,1.9967149623012617,2.0002352654161384,-0.0028578783503332957,no,yes,no,yes,yes,yes,yes,no,4.013439178674494,3.0053795425721566,0.9865372701200634,1.008697784594971,0.9806683597890847,4.502949366105645,1.998761967116923,15.495538081992162,15.245421765704393,1,1
32,GP,M,15.002093794392223,R,GT3,T,4.003972051195043,2.5043364481559425,teacher,at_home,course,mother,0.9908836300518805,2.0027950954684757,0.007550749262397129,no,yes,no,yes,yes,yes,yes,yes,4.003548513026779,4.500587721499023,1.9854228046973057,1.0052394001709883,1.0074643320990537,4.990554543285417,9.716216497756717e-05,13.493748576540472,14.506164644143713,1,1
33,GP,M,14.990423422538704,U,LE3,T,2.494998300089597,3.0010373380955606,other,other,course,mother,1.0096310604312257,1.996500299920446,0.013556458947960332,no,no,no,yes,no,yes,yes,no,4.50546792953844,2.9923397221048704,2.0165232675288784,0.9935037931312418,0.9993563910902323,1.4964310280186401,0.006490040265956999,13.505567131913484,12.505052793250297,1,1
34,GP,M,16.00057708652979,U,GT3,T,2.492125523990415,2.0077988560774163,other,other,home,mother,0.9968429048454037,1.0077900865992624,-0.008741672783727832,no,yes,no,no,no,yes,yes,no,5.001902278850291,3.496103216113158,2.9917928610148894,0.9997780169956598,1.0011538049474433,4.495196579612677,4.009272724138679,12.502058192595047,12.50388497379361,1,1
35,GP,F,14.983572351103241,U,GT3,T,2.5039387191979463,2.9903299223580055,other,other,other,father,1.9935215016285082,0.9860028965967593,-0.009386026408387638,no,yes,no,yes,yes,yes,no,no,2.995437795896911,4.749925066093583,0.9981282860685209,0.9969708940893649,1.4922694184085097,4.991936937873863,5.00277677173988,11.008379828259812,10.494621449863178,0,1
36,GP,M,15.50367151353403,U,LE3,T,3.50288210798188,2.9896939440860466,teacher,services,home,mother,1.0023490817903526,3.008672598436686,-0.014551624296887215,no,yes,no,yes,yes,yes,yes,no,5.005202697033825,3.5056553339600143,2.991273228726921,0.9964812475409789,1.0023246514750694,4.0020352019298855,0.002673752591217423,14.508448526950296,14.497661973482327,1,1
37,GP,M,16.000794091326924,R,GT3,A,3.492890026615588,4.0140331178394275,other,teacher,reputation,mother,1.9974112011962273,3.0142236360936425,-0.013895076080045369,no,yes,no,yes,yes,yes,yes,yes,2.0001173784337283,3.9899182832358466,2.9934150131570623,0.9984675654399187,0.9941869325774161,5.010358391095847,3.997081957987513,13.492332943821804,13.500920991561872,1,1
38,GP,F,14.988770814059816,R,GT3,T,2.993751778157358,3.9921025645660837,services,health,course,mother,1.0058065294768768,2.49888250480391,-0.0007964799711021205,yes,yes,no,yes,yes,yes,yes,no,4.00651355303326,3.5071109631840063,1.9994936041849756,0.9905168487818476,1.4973706472238995,5.005596233257993,1.9932421768652664,10.490165738477192,11.99322913125774,1,1
39,GP,F,15.002720831608137,R,GT3,T,1.9907105604948558,2.00283860661116,at_home,other,reputation,mother,1.0164463320853447,0.9943411306147991,-0.0029995910367474725,yes,yes,no,yes,yes,yes,no,no,3.9867742230336454,2.9927799262452974,0.9966411176265622,0.9857852551975321,1.50800196129859,2.4997485087946045,7.993870247340984,13.499075540198987,13.001194212688457,1,1
40,GP,F,15.987256515984706,U,LE3,T,2.5006493593531225,1.99679208595774,other,other,home,mother,1.9921619085302675,1.9963464713979109,-0.011239066698675346,no,yes,no,yes,no,yes,yes,yes,3.0065574233676897,3.4926407819166356,3.015122595032112,1.0128293058442863,2.4947066833300013,3.5057656856675936,17.004664786188847,10.50860142770425,10.489181186348993,0,0
41,GP,M,15.000563239892395,U,LE3,T,4.002981441576165,4.003911844487202,teacher,other,home,other,0.9933003906628525,1.4929489340483673,-0.013399887175163262,no,yes,no,no,no,yes,yes,yes,4.501877148115054,4.000300017741535,3.006593123409898,1.5034785931745107,2.9990874175009434,4.9972432699771545,7.995774487228675,10.506523595805309,11.500010948216664,0,1
42,GP,M,15.493213157741096,U,GT3,T,4.005771162060041,4.0061927328573,services,teacher,course,father,0.9897578251401044,2.014526023077048,0.0024038511671722676,no,yes,no,yes,yes,yes,yes,no,3.997843055307757,3.0007732798155233,2.99548826461443,1.0031643703405673,0.9973471531601911,4.486792793321201,0.011032010997964168,13.994199100051745,15.00261451455529,1,1
