,Position,Oral,Written,Race,Combine,Class
0,Captain,90.6085169337933,90.50423205669205,W,85.55391434715531,1
1,Captain,75.41534567528414,90.50423205669205,W,83.69797624216012,1
2,Captain,76.66427968705416,81.50446777359826,W,80.6200243809557,1
3,Captain,85.47743785980632,72.99708061316551,W,76.6372400875137,1
4,Captain,71.89718557059237,79.00138577445811,W,76.35327122593858,1
5,Captain,79.77293912036873,86.5058975058281,O,85.55391434715531,1
6,Captain,72.50275564059223,77.49320883445944,W,75.37769742744638,1
7,Captain,74.22831292537211,89.50431942265544,O,83.69797624216012,1
8,Captain,70.03023579255691,76.98851618434628,W,74.49797034892248,1
9,Captain,79.77293912036873,68.50037236822419,W,73.63530214444586,1
10,Captain,83.98940619991262,66.49847928381655,W,72.82224211036387,1
11,Captain,75.41534567528414,70.00285808252059,W,72.76860875793122,1
12,Captain,83.26339585340011,78.74033481896058,O,80.21269244277278,1
13,Captain,70.03023579255691,73.99134209457648,W,71.99672098206901,1
14,Captain,72.50275564059223,70.00285808252059,W,71.11211690638001,1
15,Captain,85.47743785980632,72.99046151287891,O,78.8407986117515,1
16,Captain,67.08188867908129,69.97024841398803,W,70.24511400542158,1
17,Captain,63.57399827972448,72.9983024115568,W,69.71824488256772,1
18,Captain,72.50275564059223,79.00758779490558,O,76.35327122593858,1
19,Captain,79.77293912036873,59.508655116080966,W,67.31545676268422,1
20,Captain,53.957685142380065,76.98851618434628,W,66.89330956365274,1
21,Captain,76.66427968705416,72.9983024115568,O,73.63530214444586,1
22,Captain,58.57263568526516,71.00670729347405,W,65.37019552402904,0
23,Captain,74.22831292537211,59.508655116080966,W,65.26008580132208,0
24,Captain,64.45572845443989,63.993381499835785,W,64.8773178347679,0
25,Captain,64.45572845443989,64.49766018457406,W,65.07667533747909,0
26,Captain,56.62865019810058,72.99046151287891,W,64.65469025988976,0
27,Captain,66.89961143615398,80.74087585557336,O,72.82224211036387,0
28,Captain,54.39504521831031,71.50006340804538,W,62.860559454418585,0
